expert,reference_simple,model_simple
Symptoms can last from 6 mo to > 10 yr and range from nonexistent to severe.,"During perimenopause, symptoms may be nonexistent, mild, moderate, or severe. Symptoms may last from 6 months to about 10 years, sometimes longer.",Pain can last 6 mo to > 10 yr and range from nonexistent to severe.
Night vision may eventually be lost.,"As a result, seeing at night or in the dark or dim light becomes difficult.","Night vision can be lost, but vision will never be visible again."
"Symptoms include rectal itching, a cloudy rectal discharge, bleeding, and constipation âall of varying severity. Examination with a proctoscope may detect erythema or mucopurulent exudate on the rectal wall.","This infection usually causes no symptoms, but it may make bowel movements painful. Other symptoms include constipation, itching, bleeding, and a discharge from the rectum. The area around the anus may become red and raw, and stool may be coated with mucus and pus. When a doctor examines the rectum with a viewing tube (anoscope), mucus and pus may be visible on the wall of the rectum.","Occasionally, you may notice itching and swelling, pain on the area of the mouth, bleeding, and bowel obstruction."
"Ascites, splenomegaly, or portosystemic encephalopathy may be present.","If a large amount of fluid accumulates in the abdomen, the abdomen swells (distends), sometimes noticeably and sometimes enough to make the abdomen greatly enlarged and taut. This distention can be uncomfortable or painful. An enlarged spleen may cause a vague sense of discomfort in the upper left part of the abdomen.","These are also known as ascites, splenomegaly, or portosystemic encephalopathy."
Bacterial endocarditis may develop in affected valves.,Abnormal heart valves can also develop serious infections (infective endocarditis).,Bacterial endocarditis may develop in valves in which it is a condition.
Obstetric ultrasonography should be done to rule out hydatidiform mole and multifetal pregnancy.,Ultrasonography is usually done to determine whether women have a hydatidiform mole (a disorder that initially resembles pregnancy) or more than one fetus (multiple births).,The hydatidiform mole may bleed or bleed.
IV fluids.,Fluids given by vein,The blood count should be lower than 10–18.
The peripheral nervous system ( PNS ) is the part of the nervous system consisting of the nerves and ganglia outside of the brain and spinal cord.,"The Peripheral nervous system, or PNS, is part of the nervous system, and consists of the nerves and neurons that are outside the central nervous system ( the brain and spinal cord ) and serve the limbs and organs, for example.",The peripheral nervous system ( PNS ) consists of the nerves and ganglia outside of the brain and spinal cord.
Bronchiectasis is best considered the common end-point of various disorders that cause chronic airway inflammation.,"The most common cause is severe or repeated respiratory infections, which are particularly likely in people who have one or more of the following: Cystic fibrosis; Other hereditary disorders, such as primary ciliary dyskinesia, in which the ability to clear the airways is impaired; Immunodeficiency disorders; Certain autoimmune disorders, such as rheumatoid arthritis, ulcerative colitis, or Sjogren syndrome; Mechanical factors, such as airway blockage caused by an inhaled object, chronically enlarged lymph nodes, changes after lung surgery, or a lung tumor; Inhaling toxic substances that injure the airways, such as noxious fumes, gases, smoke (including tobacco smoke), and injurious dust (for example, silica and coal dust).",Bronchiectasis is most often treated with other conditions which cause chronic airway inflammation.
"Pain in the neck, back, or head may occur.","Usually, symptoms of acute transverse myelitis begin suddenly with pain in the back and a bandlike tightness around the affected area of the body (such as the chest or abdomen). People with this disorder may also have pain in the head or neck.","In some cases of head pain, pain in the neck, back, or head may increase, such as a headache."
"CT also is required to accurately assess skull base bony changes, which are less visible on MRI.","Computed tomography (CT) of the base of the skull and magnetic resonance imaging (MRI) of the head, nasopharynx, and base of the skull are done to evaluate the extent of the cancer.","CT is a reliable means of examining skull base bony changes, which are less visible on MRI."
"The United Nations ' FAO states that by 2025, 1.9 billion people will live in countries or regions with absolute water scarcity, and two-thirds of the world population could be under stress conditions.","A water crisis is a situation where the available supply of potable, clean water within an area is less than the demand for it. The Food and Agriculture Organization ( FAO ) estimates that by 2025, 1.9 billion people will be living in countries or regions with total water scarcity, and two-thirds of the world population could be under stress conditions.","In the ten years since the war of 1857, at least 1.50 billion people have suffered the most, due to extreme drought. '"
"Pain occurs along the distribution of one or more sensory divisions of the trigeminal nerve, most often the maxillary.","Pain due to trigeminal neuralgia can occur spontaneously but is often triggered by touching a particular spot (called a trigger point) on the face, lips, or tongue or by an action such as brushing the teeth or chewing.",Pain occurs along the distribution of one or more sensory divisions of the trigeminal nerve.
The forward rate k1 was found to decrease by a factor of 4.5 going from cyclohexane to methanol.,"The reverse rate k-1 was found to increase by a factor of 53 going from cyclohexane to methanol, while the equilibrium constant Keq decreased by a factor of 140.",The forward rate k1 was found to decrease by 4.5 going from cyclohexane to methanol.
The most common causes overall are Corneal abrasion; Foreign bodies.,"Corneal disorders are the most common causes of eye pain overall, particularly Corneal scratches (corneal abrasions); Foreign objects.",Corneal abrasion and foreign bodies are also most common causes of heart problems.
"A corneal ulcer begins as a corneal epithelial defect that stains with fluorescein and an underlying dull, grayish, circumscribed superficial opacity (representing an infiltrate).",The ulcer often appears as a white or dull and grayish spot on the cornea.,"In a corneal ulcer, a corneal epithelial defect stains with fluorescein and a dull, grayish, circumscribed superficial opacity, where it means an infiltrate."
Blood supply and lymphatic drainage of the testes and scrotum are distinct: Many anatomical features of the adult testis reflect its developmental origin in the abdomen.,Testicles are a type of organ called glands.,The blood supply is not always continuous and drains fluid from the testes and the scrotum .
"From May to October 2000, an outbreak of tularemia in Martha 's Vineyard resulted in one fatality, and brought the interest of the CDC as a potential investigative ground for aerosolized Francisella tularensis.",It brought the interest of the CDC as a potential investigative ground for aerosolized Francisella tularensis.,"There were 1 fatality, from May to October 2000. The CDC was interested in examining tularemia."
"Japanese Prime Minister Masayoshi Ohira suffered a fatal heart attack on June 12, only days before the summit; and his colleague, the Foreign Minister, led the delegation which represented Japan in his place.",The participants were the `` core members '' of the group: Japanese Prime Minister Masayoshi Ohira had a fatal heart attack only 10 days before the summit.,He suffered a fatal heart attack.
"Women may not bond with their infant, resulting in emotional, social, and cognitive problems in the child later.","As a result, the child may have emotional, social, and cognitive problems later.","Most babies born before the age of 3-5 have emotional, social, cognitive problems that occur later."
"90.9 % of these were classified as having been done by `` curettage '' (suction-aspiration, dilation and curettage, dilation and evacuation), 7.7 % by `` medical '' means (mifepristone), 0.4 % by `` intrauterine instillation '' (saline or prostaglandin), and 1.0 % by `` other '' (including hysterotomy and hysterectomy).","90.9 % were done by curettage, 7.7 % were medical abortions (using drugs, mifepristone in most cases), 0.4 % by `` intrauterine instillation '' (saline or prostaglandin), and 1.0 % by `` other '' (including hysterotomy and hysterectomy).","93.5% were carried out by "" curettage '' (suction-aspiration, dilation and curettage, dilation and evacuation) 7.7 % by "" medical '' means (mifepristone), 0.4 % by "" intrauterine instillation '' (saline or prostaglandin), and 1.0 % by "" other '' (including hysterotomy and hysterectomy)."
"About 10 % of patients have dermatitis herpetiformis, an intensely pruritic papulovesicular rash that is symmetrically distributed over the extensor areas of the elbows, knees, buttocks, shoulders, and scalp.","About 10 % of people with celiac disease develop a painful, itchy rash with small blistersâa disease called dermatitis herpetiformis.",About 10% of patients have dermatitis herpetiformis.
"Anteroposterior, lateral, and usually oblique x-rays are taken. A fracture, if present, is usually visible on the lateral view. X-rays may be normal if only the tendon is torn.",X-rays are usually taken at several different angles to check for a fracture.,"If a fracture is visible, X-rays can be taken."
"The genomes of three Leishmania species ( L. major , L. infantum , and L. braziliensis ) have been sequenced and this has provided much information about the biology of the parasite .","The genomes of three Leishmania species have been sequenced and this has provided much information about the biology of the parasite .
","The genomes of three Leishmania species ( L. major , L. infantum , and L. braziliensis ) have been sequenced, and this has provided much information about the biology of the parasite . "
"While epinephrine typically produces a reduction in croup severity within 30 minutes, the benefits last for only about 2 hours.","While epinephrine reduces croup severity within 30 minutes, the benefits last for only about 2 hours.","Normally, epinephrine can help relieve croup fever. This means that he should be taken out for about 2 hours."
"Because the heterozygote survives , so does the HgbS allele survive at a rate much higher than the mutation rate ( see and refs in Sickle-cell disease ) .","Because the heterozygote survives , so does the HgbS allele survive at a rate much higher than the mutation rate .
","Because the heterozygote survives , so does the HgbS allele survive at a rate much higher than the mutation rate ( see and refs in Sickle-cell disease )."
"The word croup comes from the Early Modern English verb croup , meaning `` to cry hoarsely '' ; the name was first applied to the disease in Scotland and popularized in the 18th century .","The word croup comes from the Early Modern English verb croup , meaning `` to cry hoarsely '' ; the name was first used for the disease in Scotland .","The word croup , or croup , relates to the term "" croup to cry hoarsely '' , meaning  to cry hoarsely '' in Scots ."
"Crohn disease should be suspected in a patient with inflammatory or obstructive symptoms or in a patient without prominent GI symptoms but with perianal fistulas or abscesses or with otherwise unexplained arthritis, erythema nodosum, fever, anemia, or (in a child) stunted growth. A family history of Crohn disease also increases the index of suspicion.","A doctor may suspect Crohn disease in a person with recurring crampy abdominal pain and diarrhea, particularly if the person has a family history of Crohn disease or a history of problems around the anus.","If someone has symptoms of Crohn Disease, the risk of Crohn disease can be found without evidence. This is particularly true in cases of arthritis, erythema nodosum, or fever. If a child has Crohn Disease, a family history can make the suspicion higher."
Some people with Tourette 's may not be aware of the premonitory urge.,Most people with Tourette 's do not need treatment.,Many people with Tourette 's may be confused about the fear.
"However, many also go on to form abscesses, which require surgical drainage; an extensive procedure is done with accompanying IV antibiotics.",Abscesses must be drained surgically.,The abdominal abscess can also develop in people who do not have surgery.
"In mammals, it consists of the bony labyrinth, a hollow cavity in the temporal bone of the skull with a system of passages comprising two main functional parts: The inner ear is found in all vertebrates, with substantial variations in form and function.","In mammals, it consists of two main working parts inside a bony labyrinth: The inner ear is found in all vertebrates, with many variations in form and function.","In mammals, the bony labyrinth, a hollow cavity in the temporal bone of the skull, has two main functional parts: The inner ear is found in all vertebrates."
It is estimated that 0.2 % of the population has this form of synesthesia.,Mozart is said to have had this form of synesthesia.,"In the United States, 0.2 percent of people have this form of synesthesia."
It found that `` about half the patients did show dramatic improvement '' and that adverse events were `` generally trivial '' given the younger psychiatric patient population than with movements disorders.,It found that `` about half the patients did show dramatic improvement '' and that there were few side effects and complications.,"There were no signs of improving, even in the elderly ."
"It often involves the face, lips, and/or tongue and may also occur on the back of hands or feet or on the genitals.","It can affect the back of the hands or feet, eyelids, tongue, face, lips, or genitals.","Many people can hear it if it's in the back of hands, or feet, or on the genitals."
"Jaundice usually peaks within 1 to 2 wk. Recovery phase: During this 2- to 4-wk period, jaundice fades.","The jaundice usually peaks in 1 to 2 weeks, then fades over 2 to 4 weeks.","Jaundice can last 3 to 4 weeks, usually in the 4th month of life."
"Mydriasis and diaphoresis are apparent, and heart rate and BP are increased.",People sweat profusely and the pupils are dilated.,"Mydriasis and diaphoresis are present, with heart rate and BP rising."
Myocardial abnormalities occur in about 8 % of patients within weeks of erythema migrans.,Up to 8 % of infected people develop heart problems.,Myocardial abnormalities appear in about 8 % of patients within weeks of erythema migrans.
Oral itraconazole 200 mg orally once a day given until 2 to 4 weeks after all lesions have resolved (typically 3 to 6 months) is the treatment of choice.,Skin infections are treated with itraconazole given by mouth.,Itraconazole is used once a day until 3 to 4 weeks after the lesions have cleared.
Cheerleading coach Sue Sylvester ( Jane Lynch ) is appointed acting principal of William McKinley High School after having Principal Figgins ( Iqbal Theba ) infected with the flu.,Cheerleading coach Sue Sylvester ( Jane Lynch ) is given the job of being the principal of William McKinley High School.,Cheerleading coach Sue Sylvester ( Jane Lynch ) has been notified by principal Figgins ( Iqbal Theba ) that his teacher is infected with the flu.
"According to Morrell 's account, Wasp then headed eastwards to hunt for seals, and reached the remote Bouvet Island on 6 December.","According to Morrell, the ship reached the remote Bouvet Island on 6 December.",Morrell reported that he found an island that contained a vast area of ice and was hunting for seals from it.
"Among spinal subdural abscesses, methicillin-sensitive Staphylococcus aureus is the most common organism involved. Rarely parasites can cause abscesses and this is more common in the developing world.","Among spinal subdural abscesses, methicillin-sensitive Staphylococcus aureus is the most common organism involved.",This is more common in the developing world.
"Periungual warts are more common among patients who bite their nails or who have occupations where their hands are chronically wet such as dishwashers and bartenders. Genital warts manifest as discrete flat to broad-based smooth to velvety papules to rough and pedunculated excrescences on the perineal, perirectal, labial, and penile areas. Perirectal warts often itch.","Also called venereal warts or condylomata acuminata, genital warts occur on the penis, anus, vulva, vagina, and cervix. They can be flat, smooth, and velvety or irregular, bumpy growths often with the texture of a small cauliflower. Warts around the anus often itch.",It can also be seen between people who bit their nails.
The barking cough and stridor may no longer be prominent at this stage. 85 % of children presenting to the emergency department have mild disease; severe croup is rare ( < 1 % ).,The barking cough and wheezing does not always happen at this stage. 85 % of children going to the emergency department have mild disease.,Most people who see emergency room doctors develop mild disease (  1 % ).
The risk of overdose is increased if flunitrazepam is taken in combination with CNS depressants such as alcohol and opiates.,"The overdose will be worse if flunitrazepam is taken with depressants, like alcohol or opiates.","In some patients, the risk of overdose is high (by up to 84%)."
"The Intersex Society of North America stated that `` For decades, doctors have thought it necessary to treat intersex with a concealment-centered approach, one that features downplaying intersex as much as possible, even to the point of lying to patients about their conditions.","About 1 in 100 babies are born with an intersex condition, and 1 in 1000 babies have an intersex condition that the medical community declares needs surgery, in order adhere to binary sex/gender ideals.","Since 2004, the Intersex Society of North America says that  For decades, doctors have thought it necessary to treat intersex with a concealment-centered approach, one that features downplaying intersex as much as possible, even to the point of lying to patients about their conditions."
"Biopsy of the lung is usually not indicated unless the pulmonary hypertension is thought to be due to an underlying interstitial lung disease; further, lung biopsies are fraught with risks of bleeding due to the high intrapulmonary blood pressure.",Biopsy of the lung is usually not indicated unless the pulmonary hypertension is thought to be due to an underlying interstitial lung disease.,"Although pneumonia does not have to be a secondary medical cause for death, it still does have the potential to cause further death."
"Epidemiological studies can only go to prove that an agent could have caused, but not that it did cause, an effect in any particular case: In United States law, epidemiology alone can not prove that a causal association does not exist in general.","Epidemiological studies can only go to prove that an agent could have caused disease in population, but not that it did cause, an effect in any particular case.","This may be to a degree, for example, but not necessarily as a causal association. This point depends on the circumstances in which the person was exposed to the material."
"Signs occur along a continuum: no changes to varicose veins (rare) to edema to stasis dermatitis on the lower legs and at the ankles, with or without ulceration (see Table: Clinical Classification of Chronic Venous Insufficiency). Venous stasis dermatitis consists of reddish brown hyperpigmentation, induration, venous ectasia, lipodermatosclerosis (fibrosing subcutaneous panniculitis), and venous stasis ulcers.","The discoloration is caused by red blood cells that escape from swollen (distended) veins into the skin. The discolored skin is vulnerable, and even a minor injury, such as that from scratching or a bump, can break it open, resulting in an ulcer.","Despite early symptoms, they can not last for as long as a year. It can take a lifetime."
"Most commonly found as small circular, double-stranded DNA molecules in bacteria, plasmids are sometimes present in archaea and eukaryotic organisms.","Plasmids usually occur naturally in bacteria, but are sometimes found in eukaryotic organisms (e.g., the 2-micrometre-ring in Saccharomyces cerevisiae).",Most plasmids ( a type of cells made up of two sets of double strands of DNA) are found in bacteria.
Early liver metastases may be asymptomatic.,"Often, the first symptoms are vague.",Early liver metastases may be symptoms.
"A common finding during physical examination is a symmetry or a dominant mass âa mass distinctly different from the surrounding breast tissue. Diffuse fibrotic changes in a quadrant of the breast, usually the upper outer quadrant, are more characteristic of benign disorders; a slightly firmer thickening in one breast but not the other may be a sign of cancer.","Such a lump may be cancer if it is a firm, distinctive thickening that appears in one breast but not the other. Usually, scattered lumpy changes in the breast, especially the upper outer region, are not cancerous and indicate fibrocystic changes.",There are many symptoms that lead to malignant breast tumours.
More advanced breast cancers are characterized by one or more of the following: Fixation of the mass to the chest wall or to overlying skin; Satellite nodules or ulcers in the skin; Exaggeration of the usual skin markings resulting from skin edema caused by invasion of dermal lymphatic vessels (so-called peau d â orange).,"In more advanced stages, the lump usually adheres to the chest wall or the skin over it. If a breast contains cancer that adheres to the chest wall or skin, this maneuver may make the skin pucker or dimple or make one breast appear different from the other. In very advanced cancer, swollen bumps or festering sores may develop on the skin. Sometimes the skin over the lump is dimpled and leathery and looks like the skin of an orange (peau d â orange) except in color.","Many breast cancers have a non-edemalike response (see skin redness – pain in the area, swelling and pain in the legs, neck or head) and other symptoms which increase."
"Two leading hypotheses suggest it may have jumped species from the disease scrapie in sheep, or that it evolved from a spontaneous form of `` mad cow disease '' that has been seen occasionally in cattle for many centuries.",Mad cow disease has damaged the cattle industry.,They also say the virus may have originated from a spontaneous form of  mad cow disease '' that has been seen occasionally in cattle since many centuries.
Myoclonus that occurs when patients are suddenly startled (startle myoclonus) may be an early symptom of Creutzfeldt-Jacob disease.,"In Creutzfeldt-Jacob disease (a rare degenerative brain disorder), myoclonus becomes more obvious when people are suddenly startled.","Myoclonus, which happens suddenly in people."
It occurs in most people with asthma and up to 20 % of people without asthma.,Up to 40 % of people with allergic rhinitis also have asthma.,There is also asthma.
"Vaccinia given after exposure to smallpox, within the first three days, is reported to attenuate the disease considerably, and vaccination up to a week after exposure probably offers some protection from disease or may modify the severity of disease.",This same method using liquid from sores was also used to give people smallpox.,"If vaccines are given after exposure to smallpox, there is little risk for infection."
Urinary catheterization increases the risk for urinary tract infections.,Women get urinary tract infections more often than men.,"Urinary catheterization increases the risk for infections from the urinary tract, and the use of x-rays."
Obstetric manifestations include early and late fetal loss.,Pregnant women have a higher-than- normal risk of miscarriage and stillbirth.,This will result in early and late fetal loss.
"Because patients lack the motor responses (eg, withdrawal from painful stimuli) usually used to measure responsiveness, they may be mistakenly thought to be unconscious. Thus, all patients who can not move should have their comprehension tested by requesting eye blinking or vertical eye movements.","Because locked-in syndrome can be mistaken for stupor or coma, doctors test people who do not move and appear unresponsive by asking them to open and close their eyes.","The motor responses are, however, often not the same as the ones that measure responsiveness. Therefore, all patients who can not move should have their comprehension tested by requesting eye blinking or vertical eye movements."
Bedside neurologic testing Neuropsychologic testing,A doctor 's evaluation Standardized tests of brain function,"The doctor will take a sample, and test your urine for abnormal brain cells. Neuropsychologic tests can take place either in a bedside place or in a special test to look for abnormal brain cell numbers, called serotonin."
"The most infamous symptom of bubonic plague is an infection of the lymph glands (lymphadenitis), which become swollen and painful and are known as buboes.",There are different kinds of Bubonic plague.,An infection of the lymph glands (LYDANITIS) results in an excess of sweat glands that become swollen and painful and are known as buboes.
CA 19­-9 and CA 125 are other tumor markers that may be similarly used.,"Two other cancer markers, CA 19-9 and CA 125, are similar to CEA and are sometimes elevated in colorectal cancer.",There are some different tumor markers (CFA 19­-9 and CA 125).
Cardiac complications include pericarditis (most commonly) and myocarditis.,"People with lupus may have chest pain due to inflammation of the sac around the heart  pericarditis). More serious but rare effects on the heart are inflammation of the walls of the coronary arteries (coronary artery vasculitis), which can lead to angina, and inflammation of the heart muscle (myocarditis), which can lead to heart failure.","Most patients have pericarditis, and usually have myocarditis."
"Lifestyle changes have been shown to be effective in reducing (and in the case of diet, reversing) coronary disease: In people with coronary artery disease, aerobic exercise can reduce the risk of mortality.",Most people with coronary heart disease can feel healthy for years before they start experiencing symptoms.,There is a strong link between consuming plenty of Vitamin B and having an infected body of arteries.
"Because there are no blood vessels in the cornea, there are also few problems with rejection of the new cornea.","It is a very special form of tissue because the cornea is clear, has no blood vessels, and has nerves with no myelin sheaths on them.",The eye can be easily corrected.
"In adults, lassitude, weakness, and anorexia are most common.",Other people do not develop symptoms of celiac until adulthood. Adults may have digestive symptoms or other symptoms. Many adults have no digestive symptoms at all. Most affected adults have weakness and loss of appetite.,"In adults, most men feel lassitude, weakness, and anorexia."
"The pain, lasting seconds to a few minutes, usually begins in the tonsillar region or at the base of the tongue and may radiate to the ipsilateral ear.","The pain usually begins at the back of the tongue, back of the throat, or the area near the tonsils. Sometimes pain spreads to the ear or the area at the back of the jaw. The pain may last several seconds to a few minutes and usually affects only one side of the throat and tongue.","The pain, lasting seconds to a few minutes, usually starts in the tonsillar region or at the base of the tongue."
Clinical evaluation. Diagnosis is primarily clinical.,A doctor 's evaluation,The clinical evaluation of disease is the assessment of the disease.
"Cowpox is more commonly found in animals other than bovines, such as rodents.",The disease can be spread by touch from cows to humans.,Cowpox can affect all mammals including rabbits and rodents.
"Here, an enzyme such as DNA polymerase catalyzes a reaction in a first step and then checks that the product is correct in a second step.",Another example is DNA polymerase.,This is the type of enzyme that produces the reaction to create a product.
"In developing countries, most cases are probably caused by tuberculosis, particularly in patients with impaired immune function due to undernutrition or human immunodeficiency virus (HIV) infection.","In developing nations, severe or repeated infections that cause bronchiectasis are more often caused by tuberculosis.","Most people have tuberculosis, particularly people who have an immune function infected with HIV (HIV) and have a lack of adequate or contaminated food."
Clubbing is present in about 50 % of cases.,"As the disease progresses, the level of oxygen in the blood decreases, and the skin may take on a bluish tinge (called cyanosis) and the ends of the fingers may become thick or club-shaped (see Figure: Recognizing Finger Clubbing).",Clubbing occurs almost 50 % of cases.
"She returned to Australia but died in St Vincent 's Hospital, Sydney in 1931, aged 69, of septicemia which had developed after facial surgery in Europe some time before.",She died of septicemia in Sydney.,"Despite her name, she returned to Australia before dying in 1931, aged 69, of septicemia."
"Cough, occasionally producing chunky or gummy sputum, occurs but is less common.","Most people also have a cough that often does not produce sputum, but occasionally people expectorate chunky gelatinous material.","Cough, sometimes causing chunky or gummy sputum, occurs and is less common."
Undernutrition and human immunodeficiency virus (HIV) infection also appear to increase risk.,Poor nutrition and unavailability of vaccines can also contribute.,This includes the infection with an infected virus.
Infection ranges from asymptomatic (in 5 to 50 % of cases) to a hemorrhagic fever with a case fatality rate of up to 50 %.,"Some infected people do not have symptoms. Others have mild symptoms, and some have a severe, life -threatening illness. Up to 50 % of people with severe bleeding and fever die.","There is an infection with both a bacterial infection, and a hemorrhagic fever (a severe form of pneumonia."
Renovascular hypertension may develop if the abdominal aorta or renal arteries are narrowed.,Kidneys: The kidneys may malfunction because the arteries that supply blood to the kidneys become narrowed. This narrowing can result in high blood pressure.,"The kidneys may narrow after ischemia is present; the blood vessels close to the artery of the kidney (i.e., the aorta) become blocked or damaged."
"Unlike other dementias, multiple- infarct dementia tends to progress in discrete steps; each episode is accompanied by intellectual decline, sometimes followed by modest recovery.","Unlike dementia caused by Alzheimer disease, vascular dementia may progress in steps. Symptoms may worsen suddenly, then plateau or lessen somewhat. They then become worse months or years later when another stroke occurs.","In particular, multiple- infarct dementia leads to brain damage (like Alzheimer’s)."
Intractable apneic spells require ventilator support.,Newborns who have apnea spells that are difficult to treat may need a ventilator (a machine that helps air get in and out of the lungs) to help them breathe.,Intractable apneic spells require ventilation.
"Diagnosis of DiGeorge syndrome is based on clinical findings. An absolute lymphocyte count is done, followed by B- and T- cell counts and evaluation of lymphocyte subsets if leukopenia is detected; blood tests to evaluate T- cell and parathyroid function are done. Ig levels and vaccine titers are measured. If complete DiGeorge syndrome is suspected, the T- cell receptor excision circle (TREC) test should also be done. A lateral chest x-ray may help evaluate thymic shadow. Fluorescent in situ hybridization (FISH) testing can detect the chromosomal deletion in the 22q11 region; standard chromosomal tests to check for other abnormalities may also be done.",Sometimes imaging tests (such as chest x-rays and echocardiography). Doctors suspect DiGeorge syndrome based on symptoms. Blood tests are done for the following reasons: To determine the total number of blood cells and the number of T and B cells; To evaluate how well T cells and the parathyroid gland are functioning; To determine how well the body produces immunoglobulins in response to vaccines. A chest x-ray may be taken to check the size of the thymus gland.,A blood test to test for thymic shadow can be done.
"It had a cranial capacity of 400-500 cc. In 2006, Lee Berger announced the Taung Child probably was killed by an eagle or other large predatory bird since the similarity of damage to the skull and eye sockets of the Taung Child is of that seen in modern primates that are known to have been killed by eagles.",This conclusion was reached by noting similarities in the damage to the skull and eye sockets of the Taung Child to the skulls of primates known to have been killed by modern eagles. The left hand side of the endocast of the Taung child is covered in beautiful calcium carbonate crystals.,"It had a cranial capacity of 400-500 cc. In 2006, Lee Berger announced the Taung Child probably was killed by an eagle or other large predatory bird since the similarity of damage to the skull and eye sockets of the Taung Child is of that seen in modern primates that are known to have been killed by eagles."
Renal involvement can develop at any time and may be the only manifestation of SLE. It may be benign and asymptomatic or progressive and fatal.,Kidney involvement may be minor and without symptoms or may be progressive and fatal. The kidneys can be affected at any time and may be the only organ affected by lupus.,During LSD the kidney may become infected with a virus like measles.
Many of these risk factors are the same as those associated with having a major symptomatic stroke.,These people did not know they had a stroke.,A stroke can usually develop on a person's body or it can lead to a stroke.
"Vasoconstriction can change a lesion that does not limit blood flow into a severe or complete stenosis. Symptoms of unstable angina or myocardial infarction, ischemic stroke, or rest pain in the limbs may develop when unstable plaques rupture and acutely occlude a major artery, with superimposition of thrombosis or embolism.",The first symptom of a narrowed artery may be pain or cramps at times when blood flow can not keep up with the tissues â need for oxygen.,A narrow artery (such as angina) may become unstable and can cause swelling.
"According to the fifth Diagnostic and Statistical Manual of Mental Disorders (DSM), DID includes `` the presence of two or more distinct identities or personality states '' that alternate control of the individual 's behavior, accompanied by the inability to recall personal information beyond what is expected through normal forgetfulness.","According to the DSM-IV, the symptoms of DID are `` the presence of two or more distinct identities or personality states '' (which are often called `` alters ''), as well as forgetting things that people normally do n't forget.","The fifth Diagnostic and Statistical Manual of Mental Disorders (DSM), however, shows that DID includes  the presence of two or more distinct identities or personality states '' that alternate control of the individual 's behavior, alongside an inability to recall personal information beyond what is expected through normal forgetfulness."
The linear combination of atomic orbitals or `` LCAO '' approximation for molecular orbitals was introduced in 1929 by Sir John Lennard-Jones.,The LCMO (Linear combination of atomic orbitals molecular orbital) method gives a rough but good description of the MOs.,The linear combination of atomic orbitals is called  LCAO ''.
Globally about 106 million cases of chlamydia and 106 million cases of gonorrhea occurred in 2008.,About 106 million cases of PID occurred around the world in 2008.,In 2008 the world got over 106 million people with chlamydia and 106 million people with gonorrhea.
"Shanty towns have high rates of crime, suicide, drug use and disease.","Residents of shanty towns often have poor health, lack education, suffer from high levels of crime and suicide, and have shorter life expectancy.","Shanty towns have high rates of crime, suicide, drug use, and disease."
Sullivan apparently had no idea who McCartney was.,Sullivan thought that his illness was because of ulcers.,Sullivan did not have a clue what McCartney was.
"Scurvy or subclinical scurvy is caused by the lack of vitamin C. In modern Western societies, scurvy is rarely present in adults, although infants and elderly people are affected.","Scurvy is a disease caused by not eating enough vitamin C. People who have scurvy get spots on their skin, especially at the legs.",Scurvy is due to the lack of vitamin C. Scurvy is present in adults but may happen in older people.
"He went to work for ICI Pharmaceuticals in 1958 and, while there, developed propranolol, a beta blocker used for the treatment of heart disease.",He went to work for ICI Pharmaceuticals in 1958.,He started work at ICI Pharmaceuticals in 1958.
"On his arrival, he finds citizens reading public notices warning them to take precautions against infection.",There are notices in the streets warning people to be careful of the sickness.,"He then finds people in need of treatment, even to avoid having fun with the virus."
Infection of the heart and acute liver failure are among the rarer complications.,"Although this almost never happens, dengue can also cause infection of the heart and acute liver failure.",Several of the pulmonary systems of the brain function.
Hypnotherapy has been studied in the treatment of sleep disorders in both adults and children.,"On the other hand, sometimes behavioral treatment of insomnia may give more lasting results.",Hypnotherapy is the name of several different treatments hypnosis has been used to help with sleep disorders.
This causes pulmonary edema and pleural effusions.,It usually manifests as pulmonary edema.,"If these do occur, pulmonary edema and pleural effusions can result."
"Infants with hypothermia may feel cold when touched, with bright red skin and unusual lack of energy.","When hypothermia begins, a person feels cold, starts shivering and can't stop.",Hypothermia can occur in children that are not exposed to the cold temperatures that occur.
The term cowpox refers to both the skin disease and the virus that causes it.,The virus that causes cowpox was used to perform the first successful vaccination against another disease.,Cowpox is a skin virus that can be spread across the face and through skin causing the virus.
"Acne occurs most commonly during adolescence, affecting an estimated 80-90 % of teenagers in the Western world.","People of all ages can get acne, although it occurs more commonly in adolescents.","As a form of acne, acne is most common during adolescence."
"As of 2014, approximately 320,000 women are diagnosed with endometrial cancer worldwide each year and 76,000 die, making it the sixth most common cancer in women.","Endometrial cancer is the most common gynecologic cancer in the United States: over 35,000 women are diagnosed each year.",The following statistics are based on population and age.
"After the discovery of the first case of BSE in the US on 23 December 2003, Japan halted US beef imports.",It 's a disease that affects a cow 's nervous system and their physical state.,Japan halted US beef imports after a case of BSE occurred on 23 December 2003.
Influenza B has not been reported in pigs.,It is very difficult to prevent the flu virus.,Influenza B was never reported in pigs.
Hepatitis E causes different histological patterns that depend on the host 's background.,"Instead, hepatitis B is spread by blood or body fluids from an infected person.",The type of Hepatitis E that causes himpatitis E is often not different from one .
